frame_index,timestamp_s,timestamp_hms,count_car,count_bus,count_truck,count_2w,count_3w,count_other,total_count,density
72,2.3983123497157806,0:00:02,8,5,0,16,10,0,39,0.65
73,2.431622243461833,0:00:02,9,5,0,16,10,0,40,0.6666666666666666
74,2.4649321372078856,0:00:02,9,6,0,16,10,0,41,0.6833333333333333
75,2.498242030953938,0:00:02,9,6,0,16,9,0,40,0.6666666666666666
76,2.5315519246999902,0:00:02,9,6,0,16,9,0,40,0.6666666666666666
77,2.564861818446043,0:00:02,9,6,0,16,8,0,39,0.65
78,2.5981717121920953,0:00:02,9,6,0,16,8,0,39,0.65
79,2.631481605938148,0:00:02,8,6,0,16,8,0,38,0.6333333333333333
80,2.6647914996842004,0:00:02,8,6,0,16,8,0,38,0.6333333333333333
81,2.698101393430253,0:00:02,8,5,0,16,8,0,37,0.6166666666666667
82,2.7314112871763054,0:00:02,8,4,0,16,8,0,36,0.6
83,2.764721180922358,0:00:02,8,6,0,16,8,0,38,0.6333333333333333
84,2.7980310746684105,0:00:02,8,5,0,16,8,0,37,0.6166666666666667
85,2.831340968414463,0:00:02,9,5,0,16,8,0,38,0.6333333333333333
86,2.8646508621605156,0:00:02,9,5,0,16,8,0,38,0.6333333333333333
87,2.897960755906568,0:00:02,8,5,0,16,8,0,37,0.6166666666666667
88,2.9312706496526206,0:00:02,8,4,0,17,8,0,37,0.6166666666666667
89,2.964580543398673,0:00:02,9,4,0,16,8,0,37,0.6166666666666667
90,2.9978904371447257,0:00:02,9,5,0,17,8,0,39,0.65
91,3.031200330890778,0:00:03,10,5,0,15,8,0,38,0.6333333333333333
92,3.0645102246368308,0:00:03,9,5,0,15,8,0,37,0.6166666666666667
93,3.097820118382883,0:00:03,9,4,0,15,8,0,36,0.6
94,3.1311300121289354,0:00:03,8,4,0,15,8,0,35,0.5833333333333334
95,3.164439905874988,0:00:03,9,4,0,15,8,0,36,0.6
96,3.1977497996210404,0:00:03,8,3,0,15,8,0,34,0.5666666666666667
97,3.231059693367093,0:00:03,10,4,0,15,8,0,37,0.6166666666666667
98,3.2643695871131455,0:00:03,9,3,0,15,8,0,35,0.5833333333333334
